# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1785878144870000000,1785878204883000000,1
workspaceModel.cachedValueWithParameters.clear.count,1785878144870000000,1785878204883000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1785878144870000000,1785878204883000000,0
workspaceModel.init.bridges.ms,1785878144870000000,1785878204883000000,6
workspaceModel.pre.handlers.ms,1785878144870000000,1785878204883000000,1
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1785878144870000000,1785878204883000000,5
workspaceModel.workspaceFileIndexData.instances.count,1785878144870000000,1785878204883000000,2
workspaceModel.loading.from.cache.ms,1785878144870000000,1785878204883000000,73
workspaceModel.updates.count,1785878144870000000,1785878204883000000,10
workspaceModel.cachedValue.calculated.count,1785878144870000000,1785878204883000000,35
workspaceModel.cachedValue.clear.count,1785878144870000000,1785878204883000000,2
workspaceModel.check.recursive.update.ms,1785878144870000000,1785878204883000000,0
workspaceModel.on.changed.ms,1785878144870000000,1785878204883000000,38
workspaceModel.non.incremental.contributors.total.update.time.ms,1785878144870000000,1785878204883000000,53
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1785878144870000000,1785878204883000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1785878144870000000,1785878204883000000,364
workspaceModel.collect.changes.ms,1785878144870000000,1785878204883000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1785878144870000000,1785878204883000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1785878144870000000,1785878204883000000,3
workspaceModel.updates.precise.ms,1785878144870000000,1785878204883000000,13
workspaceModel.cachedValue.from.cache.count,1785878144870000000,1785878204883000000,121
workspaceModel.to.snapshot.ms,1785878144870000000,1785878204883000000,1
workspaceModel.loading.total.ms,1785878144870000000,1785878204883000000,77
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1785878144870000000,1785878204883000000,49
workspaceModel.update.unloaded.entities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1785878144870000000,1785878204883000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1785878144870000000,1785878204883000000,12
workspaceModel.entityStorageSnapshotImpl.instances.count,1785878144870000000,1785878204883000000,51
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1785878144870000000,1785878204883000000,0
workspaceModel.workspaceFileIndexData.init.ms,1785878144870000000,1785878204883000000,6
workspaceModel.on.before.changed.ms,1785878144870000000,1785878204883000000,37
workspaceModel.cachedValue.total.get.count,1785878144870000000,1785878204883000000,156
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1785878144870000000,1785878204883000000,12
workspaceModel.workspaceFileIndexData.processFileSets.ms,1785878144870000000,1785878204883000000,0
workspaceModel.replace.project.model.ms,1785878144870000000,1785878204883000000,2
workspaceModel.initializing.ms,1785878144870000000,1785878204883000000,6
workspaceModel.full.replace.project.model.ms,1785878144870000000,1785878204883000000,7
workspaceModel.cachedValueWithParameters.from.cache.count,1785878144870000000,1785878204883000000,0
workspaceModel.updates.ms,1785878144870000000,1785878204883000000,97
FlushQueue.waitingTimeMaxNs,1785878144870000000,1785878204883000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1785878144870000000,1785878204883000000,246216
NonBlockingReadAction.failedExecutionsCount,1785878144870000000,1785878204883000000,1
